slot_number,sim_time,VM_type,NodeID,cost/node
391,311564,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n17,n1,n19,n27,n6,n2,n8,n34,n4,n24,n32,n28,n7,n25,n35,n26,n29,n21,n5,n22,n10,n14,n33,n31,n18,n13,n11,n30,n9,n12,n37,n15,n23,n16,n3,n20,n36,",5.14241
392,312777,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n17,n1,n35,n19,n33,n6,n2,n8,n28,n32,n26,n36,n4,n34,n21,n29,n7,n25,n5,n22,n14,n10,n27,n24,n13,n11,n31,n18,n30,n9,n15,n23,n16,n3,n20,n12,n37,",8.41414
393,314009,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n8,n2,n35,n20,n33,n3,n6,n17,n24,n27,n1,n26,n36,n18,n31,n14,n5,n22,n10,n7,n25,n28,n32,n19,n16,n23,n15,n13,n11,n12,n37,n34,n4,n29,n21,n30,n9,",8.54593
394,314066,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n35,n20,n33,n3,n6,n28,n32,n1,n26,n36,n27,n24,n18,n31,n21,n29,n7,n25,n14,n5,n22,n10,n2,n8,n17,n9,n30,n19,n16,n23,n15,n13,n11,n12,n37,n34,n4,",0.39727
395,314505,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n35,n20,n3,n33,n6,n24,n2,n8,n28,n32,n1,n26,n36,n27,n18,n31,n7,n25,n14,n22,n10,n5,n16,n23,n15,n11,n13,n17,n9,n30,n19,n12,n37,n34,n4,n29,n21,",3.03904
396,315216,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n35,n20,n3,n33,n6,n24,n2,n8,n28,n32,n1,n26,n36,n27,n18,n31,n7,n25,n14,n22,n10,n5,n16,n23,n15,n11,n13,n17,n9,n30,n19,n12,n37,n34,n4,n29,n21,",4.91214
397,315707,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n20,n35,n33,n6,n3,n24,n27,n1,n26,n36,n4,n34,n18,n31,n7,n25,n2,n8,n28,n32,n17,n9,n30,n19,n16,n23,n15,n13,n11,n14,n22,n10,n5,n12,n37,n29,n21,",3.38783
398,316436,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n20,n35,n33,n6,n3,n24,n27,n1,n26,n36,n4,n34,n18,n31,n7,n25,n2,n8,n28,n32,n17,n9,n30,n19,n16,n23,n15,n13,n11,n14,n22,n10,n5,n12,n37,n29,n21,",5.05809
399,317629,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n20,n35,n33,n6,n3,n17,n25,n7,n24,n27,n1,n26,n36,n4,n34,n2,n8,n28,n32,n9,n30,n19,n31,n18,n16,n23,n15,n13,n11,n12,n37,n22,n10,n5,n14,n29,n21,",8.44315
400,318841,"Standard_NV24X,Standard_NV24,In-house server 2,In-house server 3,","n20,n1,n36,n4,n34,n6,n3,n17,n33,n24,n27,n26,n35,n9,n30,n19,n25,n7,n28,n32,n18,n31,n37,n12,n2,n8,n16,n23,n15,n13,n11,n22,n10,n5,n14,n29,n21,",8.6636
401,319108,"Standard_NV24X,In-house server 2,In-house server 3,","n3,n20,n36,n1,n4,n34,n6,n17,n25,n7,n33,n24,n27,n26,n35,n9,n30,n19,n32,n28,n18,n31,n37,n12,n2,n8,n16,n23,n15,n13,n11,n22,n10,n5,n14,n29,n21,",1.93068
402,320057,"Standard_NV24X,In-house server 2,In-house server 3,","n3,n20,n35,n1,n33,n6,n19,n15,n16,n23,n28,n32,n24,n27,n26,n36,n4,n34,n2,n8,n29,n21,n9,n30,n31,n18,n12,n37,n13,n11,n22,n10,n14,n5,n17,n25,n7,",6.66833
403,321288,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n20,n36,n1,n4,n34,n6,n19,n33,n24,n27,n9,n30,n32,n28,n7,n25,n2,n8,n35,n29,n21,n37,n12,n18,n31,n13,n11,n22,n10,n14,n5,n17,n15,n23,n16,",8.61436
404,321714,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n20,n36,n1,n4,n34,n6,n19,n33,n24,n27,n9,n30,n32,n28,n7,n25,n2,n8,n35,n29,n21,n37,n12,n18,n31,n13,n11,n22,n10,n14,n5,n17,n15,n23,n16,",2.97397
405,322436,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n19,n36,n1,n4,n34,n6,n15,n16,n23,n33,n24,n27,n9,n30,n32,n28,n7,n25,n2,n8,n35,n29,n21,n37,n12,n18,n31,n22,n10,n14,n5,n11,n13,n17,n20,",5.05452
406,323335,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n20,n36,n1,n17,n4,n34,n6,n15,n16,n23,n19,n9,n30,n24,n27,n32,n28,n33,n7,n25,n2,n8,n35,n37,n12,n18,n31,n22,n10,n5,n14,n29,n21,n11,n13,",6.28657
407,323611,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n19,n36,n1,n17,n4,n34,n6,n15,n16,n23,n33,n24,n27,n9,n30,n32,n28,n7,n25,n2,n8,n35,n29,n21,n37,n12,n18,n31,n22,n10,n14,n5,n11,n13,n20,",1.92867
408,324786,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n19,n9,n30,n1,n17,n35,n6,n28,n32,n21,n29,n2,n8,n33,n24,n27,n36,n4,n34,n37,n12,n14,n10,n22,n5,n31,n18,n11,n13,n15,n23,n16,n20,n25,n7,",8.20795
409,325969,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n20,n9,n30,n1,n17,n35,n6,n28,n32,n2,n8,n33,n24,n27,n36,n4,n34,n19,n31,n18,n37,n12,n10,n22,n5,n14,n29,n21,n11,n13,n15,n23,n16,n25,n7,",8.25245
410,327207,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n9,n30,n1,n17,n35,n6,n28,n32,n33,n24,n27,n21,n29,n2,n8,n36,n4,n34,n19,n31,n18,n37,n12,n22,n10,n5,n14,n11,n13,n15,n23,n16,n20,n25,n7,",8.62498
411,328221,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n3,n29,n21,n1,n36,n6,n17,n15,n16,n23,n26,n35,n32,n28,n20,n24,n4,n34,n9,n30,n31,n18,n19,n12,n37,n33,n7,n25,n2,n8,n22,n5,n10,n14,n11,n13,",6.83652
412,328445,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n3,n29,n21,n1,n36,n6,n17,n15,n16,n23,n26,n35,n32,n28,n20,n24,n4,n34,n9,n30,n31,n18,n19,n12,n37,n33,n7,n25,n2,n8,n22,n5,n10,n14,n11,n13,",1.51565
413,328852,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n3,n29,n21,n1,n36,n6,n17,n15,n16,n23,n26,n35,n32,n28,n20,n24,n4,n34,n9,n30,n31,n18,n19,n12,n37,n33,n7,n25,n2,n8,n22,n5,n10,n14,n11,n13,",2.74953
414,328954,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n3,n29,n21,n1,n36,n6,n17,n15,n16,n23,n26,n35,n32,n28,n20,n24,n4,n34,n9,n30,n31,n18,n19,n12,n37,n33,n7,n25,n2,n8,n22,n5,n10,n14,n11,n13,",0.689221
415,329624,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n3,n20,n1,n36,n6,n17,n15,n16,n23,n26,n35,n32,n28,n33,n24,n4,n34,n9,n30,n31,n18,n19,n12,n37,n7,n25,n2,n8,n22,n5,n10,n14,n29,n21,n11,n13,",4.53496
416,329633,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n3,n20,n1,n35,n6,n33,n15,n16,n23,n26,n32,n28,n37,n12,n24,n4,n34,n36,n9,n30,n31,n18,n19,n7,n25,n2,n8,n22,n5,n10,n14,n29,n21,n11,n13,n17,",0.0615925
417,330400,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n3,n20,n18,n31,n1,n35,n6,n33,n16,n15,n23,n24,n26,n32,n28,n4,n34,n36,n7,n25,n9,n30,n19,n22,n10,n5,n14,n29,n21,n11,n13,n17,n37,n12,n8,n2,",5.18121
